名称,省份,位置,音阶,调式,协和度,曲折度,节奏变化,平均音长,0,1,2,3,4,5,6,7,8,9,10,11,12
 拔根芦柴花,江苏省, 江都市,五声,宫调,0.25745614,4.148602057,0.573117276,3.143835616,0.0875,0.2375,0,0.1375,0,0.2,0,0,0.1875,0,0.15,0,0
拨海蜇号子,江苏省,启东市,五声,宫调,0.510833333,2.513699831,0.608891041,2.032258065,0,0.225806452,0,0.225806452,0,0.258064516,0,0,0.064516129,0,0.225806452,0,0
挑担号子（三）,江苏省,太仓市,五声,羽调,0.354237288,3.038258376,0.922330984,1.846153846,0.029850746,0.23880597,0,0.23880597,0,0.179104478,0,0,0.074626866,0,0.23880597,0,0
挑砖坯号子,江苏省,兴化市,五声,宫调,0.457480315,3.510744932,0.506789836,2.909090909,0.12,0.24,0,0.12,0,0.27,0,0,0.12,0,0.13,0,0
挑粪号子,江苏省,无锡市,五声,宫调,0.251515152,3.592100775,1.137592918,2,0,0.294117647,0,0.323529412,0,0.235294118,0,0,0.058823529,0,0.088235294,0,0
排筏号子（二）,江苏省,南京市,五声,羽调,0.422222222,3.939139691,0.704556598,1.724137931,0,0.25862069,0,0.275862069,0,0.155172414,0,0,0.051724138,0,0.25862069,0,0
探妹（五）,江苏省,如皋市,五声,宫调,0.274561404,2.618601073,0.723624613,1.731343284,0,0.104477612,0,0.23880597,0,0.343283582,0,0,0.179104478,0,0.134328358,0,0
摇一槽来扎一帮(二),江苏省,昆山市,六声,徵调,0.387785388,2.387854888,1.099629727,2.466666667,0,0.083333333,0,0.233333333,0,0.166666667,0,0,0.15,0,0.333333333,0,0.033333333
收来稻谷把租缴,江苏省,句容市,五声,徵调,0.545348837,2.324374484,0.791875063,2.514285714,0.027777778,0.166666667,0,0.305555556,0,0.055555556,0,0,0.25,0,0.194444444,0,0
攻打芦家庄,江苏省,如皋市,五声,羽调,0.35045045,3.026566586,0.610547178,1.365853659,0,0.158536585,0,0.329268293,0,0.243902439,0,0,0.146341463,0,0.12195122,0,0
数双,江苏省,宜兴市,五声,羽调,0.54009901,2.851800344,0.704797869,5.828571429,0.014084507,0.126760563,0,0.38028169,0,0.14084507,0,0,0.154929577,0,0.183098592,0,0
新店是个好地方,江苏省,如东县,五声,宫调,0.544347826,7.250159248,0.864823186,3.314285714,0.04109589,0.260273973,0,0.205479452,0,0.397260274,0,0,0.068493151,0,0.02739726,0,0
无锡景,江苏省,无锡市,五声,宫调,0.357142857,3.10907874,0.691042012,1.882352941,0,0.264705882,0,0.147058824,0,0.132352941,0,0,0.220588235,0,0.235294118,0,0
